date,contract,contract month(Week),open,high,low,last,Change,%,Volume,settlement_price,open_interest,best_bid,best_ask,historical_high,historical_low,trading_halt,Trading Session,Volume(executions among spread order and single order only)
2025/03/27,TX,202603  ,21738,21738,21738,21738,-329,-1.49%,1,21738,70,21739,21754,22263,21738,,Regular,,
2025/03/27,TX,202603  ,-,-,-,-,-,-,0,-,-,21813,21831,22263,21918,,After-Hours,,
2025/03/28,TX,202504  ,21750,21795,21485,21603,-368,-1.67%,79673,21599,78618,21600,21603,23867,21485,,Regular,,
2025/03/28,TX,202504  ,21955,21985,21784,21827,-144,-0.66%,59482,-,-,21827,21828,23867,21671,,After-Hours,,
2025/03/28,TX,202505  ,21758,21819,21514,21625,-373,-1.70%,1204,21621,1502,21622,21629,23821,21514,,Regular,,
2025/03/28,TX,202505  ,21988,22003,21821,21869,-129,-0.59%,1033,-,-,21852,21856,23821,21718,,After-Hours,,
2025/03/28,TX,202506  ,21744,21794,21500,21614,-366,-1.67%,140,21614,564,21609,21614,24547,19133,,Regular,,
2025/03/28,TX,202506  ,21948,21976,21805,21840,-140,-0.64%,64,-,-,21838,21842,24547,19133,,After-Hours,,
2025/03/28,TX,202509  ,21493,21533,21269,21343,-372,-1.71%,34,21343,761,21341,21348,23902,21269,,Regular,,
2025/03/28,TX,202509  ,21694,21705,21558,21587,-128,-0.59%,13,-,-,21574,21581,23902,21377,,After-Hours,,
2025/03/28,TX,202512  ,21500,21500,21245,21344,-379,-1.74%,32,21344,269,21346,21357,24048,21245,,Regular,,
2025/03/28,TX,202512  ,21680,21707,21560,21579,-144,-0.66%,48,-,-,21578,21588,24048,21560,,After-Hours,,
2025/03/28,TX,202603  ,21440,21440,21303,21328,-410,-1.89%,3,21366,71,21358,21375,22263,21303,,Regular,,
2025/03/28,TX,202603  ,-,-,-,-,-,-,0,-,-,21596,21606,22263,21738,,After-Hours,,
2025/03/31,TX,202504  ,20856,21065,20724,20769,-830,-3.84%,103146,20764,77322,20770,20779,23867,20724,,Regular,,
2025/03/31,TX,202504  ,21576,21645,21131,21141,-458,-2.12%,72895,-,-,21140,21143,23867,21131,,After-Hours,,
2025/03/31,TX,202505  ,20882,21080,20750,20796,-825,-3.82%,1470,20785,1593,20788,20800,23821,20750,,Regular,,
2025/03/31,TX,202505  ,21603,21666,21166,21170,-451,-2.09%,1132,-,-,21164,21171,23821,21166,,After-Hours,,
2025/03/31,TX,202506  ,20889,21070,20747,20786,-828,-3.83%,230,20786,609,20775,20788,24547,19133,,Regular,,
2025/03/31,TX,202506  ,21641,21641,21155,21190,-424,-1.96%,139,-,-,21149,21157,24547,19133,,After-Hours,,
2025/03/31,TX,202509  ,20629,20752,20461,20512,-831,-3.89%,197,20512,884,20502,20512,23902,20461,,Regular,,
2025/03/31,TX,202509  ,21382,21382,20956,20956,-387,-1.81%,20,-,-,20887,20895,23902,20956,,After-Hours,,
2025/03/31,TX,202512  ,20701,20732,20480,20480,-864,-4.05%,16,20509,264,20503,20516,24048,20480,,Regular,,
2025/03/31,TX,202512  ,21312,21362,20950,20973,-371,-1.74%,13,-,-,20887,20897,24048,20950,,After-Hours,,
2025/03/31,TX,202603  ,20500,20575,20500,20575,-791,-3.70%,2,20532,71,20521,20544,22263,20500,,Regular,,
2025/03/31,TX,202603  ,21380,21380,20991,20991,-375,-1.76%,4,-,-,20901,20917,22263,20991,,After-Hours,,
2025/04/01,TX,202504  ,21000,21271,20888,21181,417,2.01%,81447,21187,75350,21177,21183,23867,20689,,Regular,,
2025/04/01,TX,202504  ,20805,21133,20689,21088,324,1.56%,72112,-,-,21084,21089,23867,20689,,After-Hours,,
2025/04/01,TX,202505  ,21037,21288,20917,21195,410,1.97%,1254,21203,1936,21195,21205,23821,20712,,Regular,,
2025/04/01,TX,202505  ,20815,21150,20712,21116,331,1.59%,962,-,-,21103,21112,23821,20712,,After-Hours,,
2025/04/01,TX,202506  ,21043,21270,20900,21207,421,2.03%,203,21186,607,21181,21191,24547,19133,,Regular,,
2025/04/01,TX,202506  ,20818,21105,20722,21085,299,1.44%,138,-,-,21089,21098,24547,19133,,After-Hours,,
2025/04/01,TX,202509  ,20643,20999,20636,20923,411,2.00%,57,20923,941,20906,20913,23902,20457,,Regular,,
2025/04/01,TX,202509  ,20571,20731,20457,20700,188,0.92%,18,-,-,20820,20830,23902,20457,,After-Hours,,
2025/04/01,TX,202512  ,20692,20973,20687,20973,464,2.26%,28,20919,255,20913,20925,24048,20480,,Regular,,
2025/04/01,TX,202512  ,20553,20675,20500,20675,166,0.81%,18,-,-,20820,20830,24048,20480,,After-Hours,,
2025/04/01,TX,202603  ,20664,20985,20664,20985,453,2.21%,3,20933,71,20924,20942,22263,20500,,Regular,,
2025/04/01,TX,202603  ,20724,20742,20724,20742,210,1.02%,2,-,-,20838,20855,22263,20500,,After-Hours,,
2025/04/02,TX,202504  ,21273,21360,21188,21304,117,0.55%,66423,21296,73424,21301,21304,23867,20689,,Regular,,
2025/04/02,TX,202504  ,21237,21388,21061,21334,147,0.69%,72967,-,-,21328,21337,23867,20689,,After-Hours,,
2025/04/02,TX,202505  ,21300,21377,21211,21321,118,0.56%,1169,21318,2498,21319,21322,23821,20712,,Regular,,
2025/04/02,TX,202505  ,21231,21404,21082,21352,149,0.70%,1070,-,-,21345,21358,23821,20712,,After-Hours,,
2025/04/02,TX,202506  ,21323,21358,21200,21291,105,0.50%,31,21303,591,21300,21307,24547,19133,,Regular,,
2025/04/02,TX,202506  ,21236,21389,21068,21268,82,0.39%,195,-,-,21328,21341,24547,19133,,After-Hours,,
2025/04/02,TX,202509  ,21000,21017,20964,21011,88,0.42%,9,21034,943,21031,21037,23902,20457,,Regular,,
2025/04/02,TX,202509  ,20965,20999,20844,20967,44,0.21%,11,-,-,21058,21072,23902,20457,,After-Hours,,
2025/04/02,TX,202512  ,21000,21060,20950,21006,87,0.42%,17,21041,267,21037,21045,24048,20480,,Regular,,
2025/04/02,TX,202512  ,20990,21090,20822,21050,131,0.63%,27,-,-,21065,21084,24048,20480,,After-Hours,,
